arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [5, 7, 3, 5, 5, 7, 7, 5, 3, 3, 3, 3, 7, 5, 3, 7, 7, 5, 7, 5], 'e': [4, 4, 4, 3, 3, 4, 3, 4, 6, 6, 4, 3, 6, 3, 6, 4, 3, 3, 4, 3], 'd': [2, 4, 2, 3, 2], 'r': [176]}",15.01,35.87
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 7, 7, 7, 3, 5, 5, 5, 3, 3, 5, 7, 5, 7, 7, 3], 'e': [4, 6, 3, 6, 3, 4, 6, 4, 6, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 4], 'd': [4, 2, 3, 3, 2], 'r': [208]}",14.49,45.48
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 3, 3, 7, 5, 5, 5, 5, 7, 7, 5, 7, 7], 'e': [4, 4, 3, 3, 6, 6, 4, 3, 6, 3, 6, 3, 6, 6, 4, 6, 6, 3, 6, 3], 'd': [4, 4, 2, 2, 4], 'r': [224]}",17.48,53.76
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 7, 7, 5, 3, 7, 7, 3, 7, 3, 3, 3, 3, 3, 3, 3], 'e': [6, 3, 4, 4, 4, 6, 6, 4, 6, 3, 3, 6, 3, 4, 6, 3, 4, 4, 4, 6], 'd': [2, 3, 2, 3, 3], 'r': [192]}",12.01,37.05
"{'wid': None, 'ks': [3, 5, 7, 5, 5, 5, 3, 5, 5, 5, 5, 7, 7, 3, 3, 3, 7, 5, 7, 5], 'e': [6, 6, 6, 4, 6, 4, 3, 4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 3, 6, 6], 'd': [3, 2, 2, 2, 3], 'r': [224]}",10.8,43.97
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 3, 5, 3, 5, 3, 5, 3, 7, 3, 7, 7, 7, 3, 7, 3], 'e': [3, 6, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 4, 4, 3, 3, 3, 4, 6, 6], 'd': [2, 4, 4, 4, 3], 'r': [208]}",15.86,45.6
"{'wid': None, 'ks': [5, 3, 3, 5, 7, 3, 7, 5, 3, 5, 3, 5, 5, 3, 7, 7, 5, 3, 7, 3], 'e': [6, 6, 4, 6, 4, 4, 4, 4, 3, 3, 6, 4, 3, 6, 4, 4, 6, 6, 3, 3], 'd': [2, 3, 2, 2, 4], 'r': [176]}",12.42,36.19
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 3, 3, 7, 3, 7, 7, 5, 5, 7], 'e': [4, 6, 4, 4, 4, 6, 4, 6, 3, 3, 3, 3, 4, 6, 4, 6, 3, 3, 4, 6], 'd': [2, 2, 4, 2, 3], 'r': [160]}",13.19,31.95
"{'wid': None, 'ks': [7, 3, 5, 3, 3, 5, 3, 3, 3, 7, 5, 7, 7, 7, 5, 3, 5, 3, 5, 7], 'e': [3, 6, 3, 3, 3, 6, 3, 4, 6, 3, 3, 4, 4, 4, 4, 3, 6, 3, 3, 6], 'd': [3, 3, 2, 2, 3], 'r': [192]}",13.58,36.56
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 5, 7, 5, 3, 3, 3, 3, 7, 5, 5, 3, 3, 7, 3], 'e': [3, 6, 3, 3, 6, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 3, 4, 4, 4, 4], 'd': [3, 3, 3, 3, 2], 'r': [192]}",13.15,39.42
